epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4245,0.85801,1.78601,1.31168,0.91922,0.33684,0.49126,0.33624,1.21838,3.34453,1.20217,0.000647619,0.000647619,0.000647619
2,164.615,0.85695,1.22069,1.28283,0.2317,0.31579,0.17178,0.06707,1.88587,3.6828,1.6384,0.00128826,0.00128826,0.00128826
3,263.565,0.87415,1.13875,1.29418,0.18842,0.22105,0.11181,0.04589,1.90142,7.53453,1.75981,0.00190251,0.00190251,0.00190251
4,337.657,0.89416,1.01362,1.32886,0.70059,0.56653,0.6479,0.41774,1.37996,3.78059,1.41288,0.0018812,0.0018812,0.0018812
5,420.034,0.83896,0.89905,1.26849,0.62343,0.65263,0.62463,0.34499,1.45242,2.99402,1.45867,0.0018416,0.0018416,0.0018416
6,499.82,0.83977,0.84259,1.26914,0.72976,0.52632,0.62254,0.41389,1.39794,2.76825,1.39461,0.001802,0.001802,0.001802
7,576.509,0.81928,0.77169,1.2342,0.63241,0.57952,0.5626,0.34084,1.47792,1.87874,1.424,0.0017624,0.0017624,0.0017624
8,654.069,0.8008,0.76199,1.24581,0.78714,0.78947,0.84525,0.47245,1.39564,1.6559,1.3289,0.0017228,0.0017228,0.0017228
9,738.025,0.77674,0.71159,1.20907,0.79153,0.76842,0.82473,0.5439,1.16005,1.16826,1.17049,0.0016832,0.0016832,0.0016832
10,817.464,0.75617,0.67031,1.22302,0.8681,0.76212,0.83056,0.58411,1.15085,1.2021,1.20107,0.0016436,0.0016436,0.0016436
11,895.241,0.75801,0.67009,1.18762,0.73394,0.70526,0.72898,0.46972,1.29544,1.58949,1.28161,0.001604,0.001604,0.001604
12,977.156,0.73263,0.62243,1.17602,0.74826,0.81352,0.82731,0.51063,1.18022,1.26041,1.17545,0.0015644,0.0015644,0.0015644
13,1057.23,0.72953,0.61032,1.18745,0.86949,0.84157,0.88468,0.5931,1.18179,0.99034,1.18691,0.0015248,0.0015248,0.0015248
14,1137.98,0.71147,0.58805,1.17711,0.89528,0.8,0.8831,0.60531,1.18048,0.99736,1.19879,0.0014852,0.0014852,0.0014852
15,1218.14,0.69945,0.56644,1.15815,0.93409,0.72632,0.85829,0.56679,1.19572,0.87923,1.23312,0.0014456,0.0014456,0.0014456
16,1297.7,0.68018,0.54226,1.16179,0.84052,0.73684,0.81069,0.54583,1.02528,1.06189,1.16778,0.001406,0.001406,0.001406
17,1377.08,0.67112,0.53652,1.14422,0.65711,0.68421,0.58132,0.36399,1.34772,1.38794,1.44155,0.0013664,0.0013664,0.0013664
18,1456.46,0.68642,0.54489,1.17381,0.92812,0.81557,0.89426,0.64236,1.03917,0.87606,1.08952,0.0013268,0.0013268,0.0013268
19,1535.76,0.68034,0.54392,1.15637,0.84029,0.86316,0.88083,0.6632,0.9979,0.86213,1.08142,0.0012872,0.0012872,0.0012872
20,1614.65,0.67289,0.51212,1.13976,0.87623,0.86316,0.88883,0.66043,1.04194,0.71879,1.13149,0.0012476,0.0012476,0.0012476
21,1694.47,0.65571,0.48173,1.13337,0.87386,0.84211,0.90881,0.62004,1.10045,0.74888,1.13487,0.001208,0.001208,0.001208
22,1772.61,0.64511,0.47535,1.11466,0.89136,0.8637,0.90697,0.63048,1.07819,0.82409,1.13875,0.0011684,0.0011684,0.0011684
23,1850.87,0.65057,0.47548,1.12466,0.92746,0.80757,0.88271,0.63092,1.02318,0.78699,1.1372,0.0011288,0.0011288,0.0011288
24,1929.68,0.64659,0.47213,1.11101,0.9006,0.83158,0.89625,0.65354,1.0136,0.76146,1.11427,0.0010892,0.0010892,0.0010892
25,2008.5,0.63867,0.45983,1.13152,0.90241,0.8,0.88815,0.63353,1.04864,0.7619,1.12153,0.0010496,0.0010496,0.0010496
26,2088.07,0.64554,0.45914,1.11164,0.87772,0.87368,0.88323,0.6043,1.00426,0.77991,1.10261,0.00101,0.00101,0.00101
27,2166.95,0.58977,0.44006,1.10932,0.88578,0.83158,0.90332,0.67103,0.93851,0.73914,1.08802,0.0009704,0.0009704,0.0009704
28,2245.53,0.61218,0.43861,1.09621,0.90967,0.86316,0.90991,0.66709,0.99959,0.68935,1.08596,0.0009308,0.0009308,0.0009308
29,2332.61,0.58454,0.42996,1.10087,0.88917,0.85263,0.88984,0.66258,1.00577,0.70046,1.07919,0.0008912,0.0008912,0.0008912
30,2415.04,0.60522,0.44881,1.10051,0.91609,0.84211,0.90312,0.63387,0.99723,0.71732,1.06872,0.0008516,0.0008516,0.0008516
31,2493.35,0.60024,0.42468,1.08906,0.88809,0.83158,0.89948,0.63117,1.03485,0.68939,1.07018,0.000812,0.000812,0.000812
32,2572.56,0.57195,0.40903,1.07496,0.82706,0.82105,0.85423,0.62173,0.95509,0.82509,1.07789,0.0007724,0.0007724,0.0007724
33,2651.7,0.56091,0.39493,1.06726,0.91215,0.85263,0.91401,0.66412,0.96111,0.6656,1.0586,0.0007328,0.0007328,0.0007328
34,2730.36,0.55514,0.39142,1.07032,0.92197,0.82105,0.90868,0.69137,0.91013,0.62773,1.02617,0.0006932,0.0006932,0.0006932
35,2810.66,0.54857,0.3936,1.07312,0.86483,0.87552,0.87878,0.65031,0.93451,0.69374,1.05786,0.0006536,0.0006536,0.0006536
36,2890.28,0.54021,0.38678,1.05881,0.88513,0.81112,0.88527,0.65361,0.99476,0.66377,1.08465,0.000614,0.000614,0.000614
37,2969.37,0.55149,0.38183,1.06916,0.87698,0.90053,0.91363,0.69005,0.91509,0.63263,1.04752,0.0005744,0.0005744,0.0005744
38,3048.68,0.5645,0.392,1.06224,0.86371,0.90526,0.92455,0.7172,0.92121,0.62061,1.03292,0.0005348,0.0005348,0.0005348
39,3128,0.50994,0.36838,1.05687,0.94178,0.85133,0.89476,0.66149,0.91921,0.61729,1.05296,0.0004952,0.0004952,0.0004952
40,3206.26,0.5452,0.37578,1.06343,0.88156,0.86188,0.89371,0.64127,0.8934,0.58495,1.03293,0.0004556,0.0004556,0.0004556
41,3284.37,0.52913,0.43756,1.08806,0.89614,0.83158,0.82939,0.57882,1.03273,0.7,1.1165,0.000416,0.000416,0.000416
42,3362.8,0.49643,0.3288,1.06134,0.9182,0.84211,0.89149,0.67575,0.94064,0.66378,1.0585,0.0003764,0.0003764,0.0003764
43,3440.46,0.49775,0.30933,1.03088,0.92295,0.8827,0.90988,0.67405,0.91666,0.63341,1.03812,0.0003368,0.0003368,0.0003368
44,3519.01,0.48765,0.31681,1.03428,0.93218,0.90526,0.92416,0.71392,0.90219,0.55584,1.03208,0.0002972,0.0002972,0.0002972
45,3596.27,0.47078,0.29831,1.03043,0.91498,0.90634,0.93223,0.68663,0.91876,0.55114,1.02853,0.0002576,0.0002576,0.0002576
46,3674.31,0.4653,0.29754,1.01401,0.93178,0.89474,0.93152,0.71575,0.87299,0.53774,1.02281,0.000218,0.000218,0.000218
47,3751.59,0.45069,0.27736,1.0152,0.92091,0.89474,0.92938,0.71391,0.85764,0.53977,1.02042,0.0001784,0.0001784,0.0001784
48,3828.82,0.43689,0.27612,1.01493,0.93531,0.91317,0.93616,0.70394,0.87943,0.54902,1.02481,0.0001388,0.0001388,0.0001388
49,3906.27,0.44318,0.27768,1.00209,0.93507,0.90955,0.94158,0.72203,0.85233,0.52138,1.01462,9.92e-05,9.92e-05,9.92e-05
50,3983.89,0.44155,0.27674,1.0091,0.92767,0.91579,0.93866,0.71965,0.83796,0.51154,1.01128,5.96e-05,5.96e-05,5.96e-05
